Headline,Date,Description
"2 drug peddlers, 8 consumers held","Mar 11, 2024",The city police arrested two drug peddlers and eight drug consumers and seized six kilos of ganja from their possession.
Hyderabad: Three nurses among 7 nabbed for illegal sale of Covid drug,"Jul 19, 2024",
Rakul Preet appears before ED in connection to 2017 drug case,"Sep 03, 2024",The drugs racket was busted in July 2017 after the arrest of a musician and two others and a seizure of drugs from their possession.
"Hyderabad: Drugs worth Rs 2.5 lakh found, two peddlers held","Dec 21, 2024","A well-connected drug peddling racket was busted by Task Force sleuths on Friday and Rs 2.5 lakh worth narcotic substances, including heroin, was recovered from two persons."
Drugs worth Rs 31 lakh seized in north Goa in past fortnight,"Sep 17, 2024","In its drive to curb the drug trade, Goa police and the Anti-Narcotics Cell (ANC) have seized drugs worth Rs 31.69 lakh in nine different cases across the North Goa beach belt over the past 15 days, said North Goa SP Shobhit Saxena. The largest quantity seized was of over 14kgs of ganja worth Rs 14.5 lakh."
Drugs worth Rs 31L seized in N Goa in past fortnight,"Sep 17, 2024",
Man who duped 200 as ‘plasma donor’ arrested in Hyderabad,"Jul 21, 2024","A 25-year-old man from AP was arrested for cheating over 200 people, including many from Hyderabad, by promising to donate his plasma and collecting money from them towards transport charges. Task Force police said Sandeep Reddy posed as a plasma donor and duped several people by collecting amounts ranging from Rs 300 to Rs 5,000."
Bizmen with links to Tony grilled in pub drugs case,"Apr 22, 2024","In the Pudding and Mink pub cocaine peddling case, the Banjara Hills police examined two businessmen who were previously accused of procuring cocaine from Nigerian peddler Tony, who was arrested by Punjagutta police in January 2022."
"Telangana: Drug racket busted, peddler held with 78 LSD blots, ganja","Sep 08, 2024",Ghatkesar excise sleuths along with Malkajgiri district task force team conducted a joint raid on a duplex house at Siddharth Nagar colony in Dammaiguda and busted a narcotics peddling racket and arrested an offender in possession of synthetic drugs and ganja.
Hyderabad: Taking expressway lands peddlers in soup,"Jun 23, 2024","Drug peddlers may be adept at using technology to evade the police dragnet. However, in a recent case, a pimp-turned-peddler’s bid to expand his business using technology led to his downfall and that of his clients. After arresting the peddler in possession of a card swiping machine (point of sale, POS machine), based on evidence gathered from him and his gang members, excise sleuths have now arrested a customer"
Cybercrook making Rs 3 crore a day from scams arrested by Mumbai cops,"May 03, 2024",A Class 12 passout and a self-taught cybergeek has been arrested from Visakhapatnam by the Bangur Nagar police in a multi-crore cyber fraud spanning the length and breadth of the country. Investigators said he had been converting money that was defrauded from Indian citizens into cryptocurrency and transferring it to Chinese nationals. He was generating a turnover of anywhere between Rs 3 crore and Rs 5 crore everyday.
Goa druglord booked for evading Hyderabad cops with fake Covid positive certificate,"Sep 25, 2024","Goa-based drug kingpin, Edwin Nunes, whose anticipatory bail petition was rejected by a city court, waded into more trouble on Saturday after Hyderabad police found he furnished a fake Covid-19 positive report to evade arrest in Goa."
K’buragi cop criticalafter smugglers attack,"Sep 25, 2024","Kalaburagi Rural Circle inspector Shrimanth Illal is battling for life after he was attacked by around 40 ganja smugglers and growers at Taruri village in Omerga taluk in Osmanabad district, Maharashtra, on Friday night."
"Scandals don’t affect me, there are far more interesting things going on in my life","Jul 18, 2024",
Addict taps social media platform to make drugs,"Apr 01, 2024",An alleged drug addict tapped an online video sharing platform to gain knowledge about making processed drug di-methyl tryptomine (DMT) or Changa before he started to manufacture and sell it to others. Some precursors were reportedly bought from an e-commerce website.
5 peddlers held with hashish oil in Hyderabad,"Feb 08, 2024",Five drug peddlers of an interstate drug syndicate were arrested on Monday and 140ml hashish oil seized.
"Rs 80 crore cocaine haul at Hyderabad airport, 2 Africans held","May 03, 2024","In a major drug bust in recent times in the country, the Directorate of Revenue Intelligence (DRI) on Sunday night seized 8kg of cocaine valued at Rs 80 crore from two African nationals at city’s Rajiv Gandhi International Airport (RGIA)."
"Coronavirus treatment: Everything we know about DRDO's COVID medicine, 2-deoxy-D-glucose","May 17, 2024","DRDO's newly launched anti-COVID medicine, 2-deoxy-D-glucose is being hailed as an innovative holy grail for COVID patients in India right now, who are currently battling for their lives and scouring for oxygen amidst a deadly grasp of the second wave of infections."
"Telangana: Student, Nigerian among 4 cocaine peddlers held","Feb 02, 2024","Rachakonda police arrested four drug peddlers, including a Nigerian, and recovered 38 grams of cocaine from their possession on Tuesday."
Malawian held with heroin worth Rs 22 crore at Hyderabad airport,"Apr 26, 2024",Directorate of Revenue Intelligence (DRI) sleuths intercepted an alleged woman drug peddler from Kenya at Rajiv Gandhi International (RGI) Airport on Sunday and seized 3.1 kilo heroin worth 22 crore concealed in her luggage.
"Hyderabad: 3 peddlers held, drug network unearthed","Jun 24, 2024","Three drug peddlers, two from Nigeria and another from Ivory Coast, were arrested and 254 grams of cocaine worth 15 lakh was seized from their possession after a raid at their residence at Khadarbagh near Golconda on Sunday night."
Police to move Goa court for Edwin’s transit,"Sep 05, 2024","Hyderabad police are in the process of approaching a concerned court in Goa court in the next few days with a prisoner transit (PT) petition requesting for custody of Edwin Nunes, owner of a restaurant in NDPS Act."
"Hyderabad: Student among 2 smugglers held, hashish oil seized","Jul 15, 2024","Special Operations Team (SOT) sleuths of Rachakonda arrested two interstate drug smugglers, including a student, and seized `15 lakh worth hashish oil from them. Acting on a tip-off, SOT LB Nagar team along with Hayathnagar police kept a watch on the movements of the suspects at Bhagyalatha Kaman in Hayathnagar in the early hours of Thursday."
Hyderabad: Three more arrested in IMS scandal,"Oct 08, 2024",
Bolly Buzz: Kartik Aaryan's shocking reason for leaving SRK's next; Siddharth Pithani arrested in drug case,"May 28, 2024","From Kartik Aaryan going the Titanic way to the FRIENDS reunion making B-town mushy, BTS cranking up the tempo and giving us a Butter remix, we're also serving up all the latest deets."
NCB raids illegal drug factory in Nacharam,"May 04, 2024",
Leprosy is not the end. This Hyderabad hospital shows why,"Jan 26, 2024","India records over half the world's leprosy cases. While the disease is now easily treated, those who have it are still often ostracized. But they’re always welcome at this refuge"
Eight arrested for illegally selling antiviral medicines at exorbitant prices in Hyderabad,"Jul 15, 2024","Seven persons from Hyderabad and one person from Delhi were arrested from various parts of the city by Hyderabad police for allegedly illegally selling antiviral medicine Remdesivir, Actemra (Tocilizumab) and Fabiflu Tablets, which have been extensively used while treating Covid-19 patients, to the needy individuals persons at exorbitant rates."
Hyderabad police to launch two special narcotics units today,"Feb 09, 2024","To strengthen anti-narcotics law enforcement in the city and to increase conviction rate in NDPS Act cases, Hyderabad police are introducing two specialised units from Wednesday."
Drug scandal: Kajal Aggarwal's manager Ronny arrested,"Jul 24, 2024",
HC dismisses bail plea to IAF officer in 2016 drug case,"Oct 08, 2024",
"NCB chief probing Bollywood drug case related to Sushant Singh Rajput's death, awarded 'Medal for Excellence in Investigation'","Aug 13, 2024","Sameer D Wankhede the Zonal Director of the Narcotics Control Bureau (NCB) Mumbai, who has been working on the drug case that emerged from the Sushant Singh Rajput death case, has been awarded a 'Medal for Excellence in Investigation'."
"Telangana: Pubs, clubs to lose licence if drugs found","Feb 01, 2024","Any club or pub found allowing the use of drugs will have its licence cancelled immediately, warned Telangana’s excise minister V Srinivas Goud, on Monday, even as the state government allowed them to play music at low decibel levels.“We want all pubs and clubs to be drug-free."
Four more arrested in the Excise department crack down on drug network,"Jul 04, 2024",
"International prostitution racket busted, 14,000 women caught in web of sex & drugs across 15 cities","Dec 07, 2024","The Cyberabad police have busted one of the biggest international human trafficking rackets in recent years and arrested 15 persons, including main organisers based in Telangana, AP and Karnataka."
Hyderabad: 18 persons held with ganja,"Oct 25, 2024","As part of the ongoing crackdown against drug abuse, Hyderabad police arrested 18 persons possessing ganja on Sunday after registering 12 cases in various parts of the city."
Zero FIR booked in rape case,"Jan 14, 2024",A zero FIR was registered by Balanagar police and later it was transferred to SR Nagar police on Thursday in an alleged case of rape. A woman claimed that her husband’s friend raped her at a hotel in Ameerpet.
"Actress Chrisann Pereira's mother Premila reveals her daughter's harrowing 'drug mule' incident in detail, says 'My daughter is surrounded by criminals in jail' - Exclusive","Apr 27, 2024",ETimes spoke to actress Chrisann Pereira's mother Premila who explained everything about her daughter's misfortune and their prepetrator's maniacal obsessions.
"Chinese men get bail, cops yet to find ‘drugs’","Mar 28, 2024",
"IAS officer house burglaries cracked, newspaper pile ups helped accused","Jul 30, 2024","Police on Friday arrested a taxi driver for allegedly breaking into the houses of two IAS officers and stealing gold and diamond jewellery in Sector 7.Jaswinder Singh Brar, the accused, had worked as a jail warder in Hisar but was sacked in 2019."
Hyderabad: Two peddlers held with 10kg ganja,"Jan 04, 2024","SOT sleuths of Malkajgiri arrested two drug peddlers, B Simhachalam, 32, and A Jagadeesh, 27, from Madhapur with 10 kg ganja. The duo procured ganja from a supplier in Odisha."
22kg ganja found on train at Secunderabad railway station,"Nov 10, 2024","In a fresh seizure of ganja at the Secunderabad railway station, the Government Railway Police (GRP) on Monday arrested a carrier on his way to Mumbai with 22kg of the contraband from a general compartment of Konark Express. The seized ganja is worth Rs 4.4 lakh."
"Hyderabad: Black magician, son held for raping sisters","Nov 26, 2024","A ‘black magician’ and his son were arrested on Thursday for allegedly raping two sisters in the guise of helping them in fixing health and family problems. The man had been known to family for past 10 years and they relied on his advice, Chandrayangutta cops said."
"Highest haul in T, cops seize 183gm of cocaine","Dec 24, 2024",
"STF seizes spurious medicines worth Rs 7.5 crore, arrests 1 in Varanasi","Mar 03, 2024",The local unit of Special Task Force on Thursday arrested one person and seized spurious drugs worth Rs 7.50 crore from Church colony area under Sigra police station. The arrested accused have been identified as one Ashok Kumar of Bulandshahr.
Hyderabad: Four held for selling sleeping pills illegally,"Jan 31, 2024",Excise task force sleuths arrested four persons for illegally selling sleeping pills to customers. The excise sleuths also arrested two medical shop owners for selling the drugs without prescription.
2 arrested with 30 sachets of MDMA,"May 06, 2024","Hyderabad: Prohibition and Excise officials on Thursday nabbed two persons who were allegedly in possession of banned MDMA drugs. They seized 30 sachets of MDMA, weighing 15 grams from them. Later, raids were conducted at Bandlaguda, P&T colony and two others. tnn"
Mundra heroin haul: 10-day remand for Afghan national,"Dec 16, 2024","The accused, Sobhan Aryanfar (28), was brought from Hyderabad by the National Investigation Agency on transit remand on Tuesday. The accused was residing in Delhi’s Neb Sarai area."
"300kg ganja seized in Hyderabad, two from Maharashtra held","Oct 17, 2024","Two persons, who were allegedly transporting 300 kg of ganja from Visakhapatnam to Ahmed Nagar in Maharashtra in a goods vehicle, were nabbed by Task Force sleuths at Moosarambagh in the early hours of Saturday. Police said the worth of the contraband is Rs 30 lakh."
"Overstaying foreigners seek good life, avoid T cops’ radar","Jul 05, 2024","Citing outbreak of violence between rebels of Houthi, an Islamist political and armed movement in north Yemen, and Saudi Arabia as a reason, a Yemeni, Ahmed Kamal, has sought United Nations High Commissioner for Refugees to grant him refugee status so that he can continue to stay in"
"Drug peddler and wife held in Banjara Hills, cocaine seized","Jun 19, 2024",A drug peddler and his wife were arrested in upscale Banjara Hills on Tuesday when they were planning to meet a customer to deliver drugs. Excise sleuths seized nine gm of cocaine and Rs 3 lakh from the couple.
Hyderabad doctors save patient from Nigeria,"Nov 14, 2024","A 25-year-old youth, Maddem Sasikanth Reddy, who had nearly lost his battle with drug-resistant malaria with encephalopathy recovered after nearly two months of hospitalization in Hyderabad."
2.4 crore party drug seized on Nagpur-Hyderabad highway,"Jan 04, 2024",
"4 drug dealers held, 200kg ganja worth ₹20L seized","Jul 07, 2024","In a joint operation, task force sleuths and Kodakandla police arrested four drug dealers and seized 200kg of dry ganja worth 20 lakh on Wednesday. Police also seized a tractor and six mobile phones from their possession."
Sushant Singh Rajput’s roommate granted bail by Bombay HC in drugs case,"Jul 05, 2024","Bombay High Court on Monday granted bail to Siddharth Pithani, former flatmate of actor Sushant Singh Rajput, in the drugs case following the actor’s death. Justice Bharati Dangre directed his release on bail on a surety of Rs 50,000."
Police seize 110kg ganja in Hyderabad,"Oct 29, 2024",Police in Hyderabad on Friday seized 110 kg of ganja which was being transported from Andhra Pradesh to Maharashtra.
"No enmity with Shah Rukh Khan, he has BJP friends: Union minister G Kishan Reddy","Nov 15, 2024","Two weeks after Shah Rukh Khan’s son Aryan Khan was released from jail in a drugs case, Union minister G Kishan Reddy on Sunday said that the BJP had no ‘enmity’ with the Bollywood actor."
Breaking Bad? Chemical engineer behind drug ring,"May 14, 2024","Inchem Laboratories Pvt Ltd director P Venkateshwarulu was arrested recently by the Narcotics Control Bureau (NCB) team for allegedly manufacturing Ketamine. Interestingly, Venkateshwarulu and the lead character of popular American crime thriller ‘Breaking Bad’ have striking similarities."
Tollywood drug case: Only 4 charge sheets filed by SIT,"May 07, 2024",A reply by the Excise Department under the Right to Information Act to Forum for Good Governance (FGG) regarding the probe by the Special Investigation Team (SIT) into the Tollywood drug case found that only four charge sheets have been filed so far by the agency.
IIM-Ahmedabad alumnus arrested for sale of fake cancer injection,"Oct 21, 2024","Investigators, probing the fake cancer drug case, recently arrested a 38-year-old Hyderabad resident for supplying the fake injections to Pooja Rana, who was arrested earlier in this case"
"Arrest accused in case, says Bandi","Apr 04, 2024",hyderabad bjp state president bandi sanjay kumar on sunday demanded that chief minister k chandrasekhar rao arrest everyone involved in drug trafficking and consumption cases including bjp leaders“if you have the guts ask the police department to arrest all those involved in drug consumption and trafficking cases and let them go through narcotics testing we will not object if the case involves bjp leaders.
Two from Telangana held with Rs 70 crore ecstasy in MP drug bust,"Jan 06, 2024","Indore police on Tuesday made the largest seizure of party drug MDMA or ecstasy in the country — 70kg, worth Rs 70 crore. Five persons, including two from Telangana, have been arrested."
"Rave party organiser, drug gangs under CTF scrutiny","Apr 22, 2024",
"Hyderabad: Three peddlers held, hashish oil seized","Dec 16, 2024",Task force sleuths arrested three drug peddlers in two cases and seized Rs 25 lakh worth hashish oil from their possession.​
"Hyderabad drug case: 'Mass Maharaja' Ravi Teja in hot seat today, ready for quiz","Jul 28, 2024",
Telangana: ED contempt notice to excise official in Tollywood drugs case,"Mar 12, 2024",The Enforcement Directorate has issued a contempt notice to the director of prohibition and excise for ignoring a Telangana high court in the drugs case involving Tollywood biggies.
"Narcotics Control Bureau busts two drug syndicates, 6 held","Oct 23, 2024","In the first incident, the Hyderabad sub-zone of NCB intercepted a parcel and seized three kgs of pseudoephedrine, which was concealed in the falls line areas of three skirts, the NCB's Bengaluru zonal unit director Amit Ghawate said in a statement."
Hyderabad Drug case: Experts say public posturing has devastating results,"Jul 29, 2024",
Telangana excise officials conduct raids in drugs case,"Nov 07, 2024",Telangana Prohibition and Excise Department has intensified its probe into the recent seizure of drugs worth Rs 2 crore in Medchal Malkajgiri district near here.
"Kill rapists and murderers in encounters, says Telangana Congress president A Revanth Reddy","Sep 14, 2024","Telangana Congress president A Revanth Reddy on Monday visited the home of the six-year-old-girl who was raped and murdered, and demanded justice for her on the same lines as in the Disha rape-murder case of 2019."
3 arrested for transporting drugs,"Mar 21, 2024",
Hyderabad drug racket: The probe so far,"Jul 24, 2024","SIT has questioned noted filmmaker Puri Jagannadh, cinematographer Shyam K Naidu and actor P Subba Raju, besides Tarun. The stars developed contacts with drug rackets abroad to ensure their narcotics supply."
"Hyderabad: Cocaine racket spread in several metros, says report","Jan 28, 2024","The cocaine drugs case involving Nigerians, city contractors and businessmen have a connection to kingpins operating from various metropolitan cities like Mumbai, Goa and Hyderabad. The remand report of the accused has revealed that contractors and students were involved in the drug racket."
Hyderabad drugs case: SIT quizzes actor Taneesh for 4 hours,"Aug 01, 2024","Actor Tanish Alladi on Monday appeared before prohibition and excise department's Special Investigation Team (SIT) for his alleged links with drug peddlers.Tanish, who was grilled for ."
Hyderabad drug case: KCR announces Rs 1 lakh reward for any clues,"Jul 29, 2024",
"Hyderabad drug case: Actor Navdeep sweats, Kajal Aggarwal tense","Jul 25, 2024","Ronson Home Raided, 4gm Ganja Seized"
Hyderabad drug racket: Telugu actor Navdeep appears before SIT,"Jul 24, 2024",
"'F Club' in Film Nagar loses its licence, excise vigil on 14 pubs","Jul 23, 2024",
"Techies say cops should focus on dangerous drugs, not ganja","Jul 23, 2024",
Hyderabad drugs case: Drug freeze by tracking banking trail on Darknet,"Jul 22, 2024",
Ecstasy peddlers turning into a headache for Hyderabad cops,"Nov 18, 2024",Three drug peddlers allegedly in possession of 42gm of the banned MDMA (ecstasy) worth over Rs 2 lakh were nabbed by Cyberabad police near Hitech City railway station on Tuesday.
UP-bound ganja worth Rs 2 crore seized by Cyberabad police,"May 09, 2024","The Cyberabad police, on Sunday, seized 800 kg of ganja worth 2 crore from a lorry intercepted at Pedda Golconda — on the fringes of Hyderabad — while it was on its way to Uttar Pradesh. Cops said that the accused had concealed the substance inside sacks filled with cotton seeds."
3 narcotics peddlers arrested,"Dec 16, 2024",
"80 cr cocaine haul at RGIA, 2 Africans held","May 03, 2024","In a major drug bust in recent times in the country, the Directorate of Revenue Intelligence (DRI) on Sunday night seized 8kg of cocaine valued at Rs 80 crore from two African nationals at city's Rajiv Gandhi International Airport (RGIA)."
Goa drug probes hit as Hyderabad lab lacks testing material,"May 30, 2024",
"Hyderabad: Degree, engineering students nabbed for drug peddling","Jul 27, 2024",Three drug peddlers who were procuring narcotic substances by placing orders on dark web were arrested on Thursday night and 21 methylene dioxy methamphetamine (MDMA) tablets were recovered from them.
Pain-killer drug new substitute for ganja addicts,"Sep 23, 2024",
Two caught with Rs 3 crore party drug meant for Mumbai pubs,"Jan 01, 2024",A former informer with Hyderabad customs and his accomplice from Mumbai were arrested on Monday for possessing 20.4kg ephedrine worth Rs3.04 crores.
"Telangana: Two gangs of ganja peddlers busted, 200kg drugs seized","Mar 15, 2024",Rachakonda police arrested two gangs of peddlers and seized 222kg of ganja and two litres of Hashish oil.
Rally to shut down hookah lounges and billiards parlours,"Jul 31, 2024","Seeking immediate closure of hookah centers, snookers and billiard parlours in the city, the All India Bazme Rahmate Alam here on Sunday took out an anti-drug abuse rally."
Hyderabad drugs case: Baahubali actor Subbaraju grilled for 12 hours,"Jul 22, 2024",
SEB busts illegal drug mfg unit,"Jul 04, 2024",
Give CCTV link access to excise department: Telangana minister to pubs,"Apr 10, 2024","In view of the recent drug bust at a pub, state excise minister V Srinivas Goud directed all 61 pubs to provide link access of their CCTV cameras to the excise department to boost surveillance."
Enforcement Directorate summons top Tollywood stars in 2017 drug bust case,"Aug 26, 2024",The Enforcement Directorate (ED) has summoned 10 Tollywood actors and directors in connection with the money laundering case related to drug trafficking and consumption that was initially busted in 2017.
"ED summons Tollywood celebrities Rakul Preet, Rana Daggubati, Ravi Teja and Puri Jagannadh in drugs case","Aug 25, 2024",A four-year-old drugs case has come back to hunt Tollywood celebrities. Enforcement Directorate has summoned 12 Tollywood celebrities in connection with the money laundering case in drug trafficking and consumption.
How flyers are turned into drug mules,"Apr 05, 2024","A syndicate called the “Kasargod Network”, which uses unsuspecting individuals to smuggle drugs from India to middle-eastern countries, is currently being tracked by Narcotics Control Bureau (NCB). The authorities at airports in Qatar arrest 10-15 Indians with narcotics every month and a majority of such cases are linked to this network."
Three drug peddlers held,"Dec 30, 2024",
Hyderabad drug case: Dutch drug peddler in cop custody,"Aug 05, 2024",Excise sleuths on Friday took Dutch drug peddler Mike Kamminga into their custody for interrogation .
Telangana: ‘Need more Covid care centres in case of third wave’,"Jul 08, 2024","Not just prevention; but early detection and treatment too will play a key role in arresting the spread of Covid-19, in case there is a third wave, highlights a report prepared by the Administrative Staff College of India (ASCI) along with Federation of Indian Chambers of Commerce and Industry (FICCI) Telangana state council."
"Drug bust: Hyderabad pharma company honcho held, ketamine worth Rs 25 crore seized","May 07, 2024",A top executive of a pharmaceutical company was arrested on Monday for allegedly manufacturing ketamine — also dubbed ‘date rape drug’ — at one of their units at Nacharam industrial area. Narcotics Control Bureau (NCB) sleuths seized 477 kilos of ketamine worth Rs 25 crore from Inchem Laboratories Pvt Ltd’s Nacharam unit.
Mumbai: Court denies bail to Sushant Singh Rajput's flatmate Siddharth Pithani in drug case,"Aug 11, 2024","A special NDPS court on Wednesday denied bail to Siddharth Pithani, Sushant Singh Rajput's flatmate, in a drugs case linked to the Bollywood actor's death in June 2020."
"Flats reserved in Bengaluru exclusively for drug consumption, say cops","Sep 14, 2024","Central Crime Branch police claimed some flats were being maintained in Bengaluru only to host parties where drugs would be consumed. These flats were also used for after-parties and drugs would be consumed at these events, CCB sleuths claimed."
5 held for illegal sale of fungus drug,"Jun 14, 2024",
Drugs case: Bombay HC grants bail to ex-flatmate of late actor Sushant Singh Rajput,"Jul 04, 2024","The Bombay High Court on Monday granted bail to Siddharth Pithani, the former flatmate of actor Sushant Singh Rajput, arrested in a drugs case related to the actor's death."
Four ganja peddlersfrom Maha arrested,"Jan 08, 2024","Hyderabad: Kodad police arrested four drug peddlers, Arif Khan, Sk Irshad, Kiran Deepak and Vinay Sailesh, of Maharashtra and seized 102 kg ganja. The accused were travelling towards Akola in Maharashtra via Hyderabad. tnn"
Two arrested in capital for possession of ganja,"Aug 22, 2024",
180 kgs ganja worth Rs 18 lakh seized in Andhra Pradesh,"Jan 09, 2024","Krishna district police on Saturday recovered 180 kg of cannabis (ganja) worth Rs 18 lakh which was being illegally transported from Andhra Pradesh to Telangana and Maharashtra, said an official."
"NCB busts 2 major drug syndicates, 6 held","Oct 24, 2024",
Tollywood drugs case: ED seeks ‘missing’ audio & video recordings of actors,"Feb 14, 2024",The Enforcement Directorate (ED) has sought the ‘missing’ audio and video tapes of Tollywood actors which were recorded by the excise department while probing the Tollywood drug scandal in 2017.
"DRI, NCB grappling for clues on flow of narcotics","Jul 23, 2024",
Drug bust in Hyderabad: Students high on LSD,"Jul 06, 2024",About 700 dots of LSD worth Rs 20 lakh and 35gm of MDMA worth Rs 1.4 lakh were recovered from the peddlers.
Chennai cops bust meth unit in Andhra Pradesh; chemist held,"Mar 10, 2024","Chennai police on Wednesday busted a methamphetamine manufacturing unit in Ongole, Andhra Pradesh, and apprehended a chemist. They are also on the lookout for the prime suspect who had been supplying the party drug across many states, including Tamil Nadu."
42 cocaine pellets recovered from arrested smuggler's body in Hyderabad,"Sep 01, 2024",Osmania General Hospital staff have managed to recover 42 pellets of cocaine from the body of the arrested 32-year-old South African woman smuggler on Monday.
Three peddlers held in Secunderabad; Rs 2 lakh worth narco items seized from them,"Jul 13, 2024",Excise enforcement sleuths arrested three peddlers and seized banned narcotic substances from their possession on Monday
‘Kid’ peddlers keep railway cops on toes,"Sep 21, 2024",
How you exercise is key to cardiac health: Experts,"Dec 13, 2024","With many young, active and fit individuals suffering cardiac events during or after a strenuous exercise, the general notion that exercising makes people healthy is under scrutiny. While the chances of a cardiac arrest due to exercising with caution are much less when compared to a cardiac event due to not exercising and leading an unhealthy lifestyle, experts sound caution while exercising."
Railway stations in Hyderabad key transit point for drugs,"Mar 28, 2024",
Taliban routing drugs to West via India: DRI,"Jul 22, 2024","A Taliban link to drug smuggling to the West via Hyderabad and other Indian cities has emerged in the probe by the Directorate of Revenue Intelligence (DRI). Heroin consignments are frequently being caught at airports in the past few weeks, with three cases in Hyderabad alone."
Drug bust: Telangana cops sniff out role of AP inspector in racket,"Mar 20, 2024","In what appeared to be routine drug haul arrests for Rachakonda cops has now suddenly led sleuths to a possible cop-drug mafia nexus, officials said on Tuesday."
Maharashtra-bound 300kg ganja seized by Hyderabad police,"Oct 16, 2024","Two persons, who were allegedly transporting 300 kg of ganja from Visakhapatnam to Ahmed Nagar in Maharashtra in a goods vehicle, were nabbed by Task Force sleuths at Moosarambagh in the early hours of Saturday. Police said the worth of the contraband is Rs 30 lakh."
Peddler held with cocaine in Hyderabad,"Nov 25, 2024",The enforcement team of prohibition and excise department arrested a drug peddler from Ghana and seized 61 grams of cocaine from his possession. The offender was earlier arrested in August 2020 for cocaine peddling and on November 12 he was released on bail.
International drug dealer absconding since 2018 nabbed at Bengaluru airport,"Nov 18, 2024","In what the Directorate of Revenue Intelligence (DRI) sleuths described as a “prize catch”, an international drug manufacturer-cum-smuggler, who was dealing in ketamine worth crores of rupees and smuggling the substance extensively to Southeast Asian countries from Kalaburagi, was nabbed at Kempegowda International Airport (KIA) on Friday."
Contact list of addicts in focus,"Feb 10, 2024","Probing the drug racket allegedly operated by Mumbai-based Nigerian national Chukwu Ogbonna David alias Tony, Hyderabad police have uncovered leads that hint that drug peddlers are in possession of contact details of most cocaine addicts from the city."
Hyderabad: Two women held with heroin worth Rs 78 crore,"Jun 07, 2024","In one of the biggest hauls of narcotic substances in recent years at the Rajiv Gandhi International Airport, the Directorate of Revenue Intelligence (DRI) arrested two African women and seized 12kg heroin valued at Rs 78 crore from them."
Hyderabad drug racket: Telugu actor Nandu appears before SIT,"Aug 01, 2024",Telugu film actor Ananda Krishna alias Nandu on Tuesday appeared before the special investigation team (SIT) of Telangana's excise department as part of an ongoing probe in the high-end online drug racket.
"Hyderabad: Some customers bought cocaine every week, says Nigerian peddler Tony","Jan 31, 2024","Nigerian peddler Tony, who was arrested in a recent drug bust, has told police that some of the arrested accused used to buy cocaine from his team members every weekend."
How unsuspected flyers become drug mules,"Apr 05, 2024","A syndicate called the “Kasaragod Network”, which uses unsuspecting individuals to smuggle drugs from India to middle-eastern countries, is currently being tracked by Narcotics Control Bureau (NCB). The authorities at airports in Qatar arrest 10-15 Indians with narcotics every month and a majority of such cases are linked to this network."
"Drug racket busted, 2 held in Hyderabad","Aug 06, 2024","Yet another case of drug racket was busted with the nabbing of two persons, which includes a Nigerian national, by Task Force police on Sunday as they were trading cocaine in Yousufguda. From the accused, police seized 180 grams of cocaine."
"10 inter-state drug peddlers held, 240 kg ganja seized","Dec 18, 2024",
"Narco nab: 3 locals and a Nigerian caught, drug contraband seized","Aug 15, 2024","A Nigerian national and three locals, declared high league drug peddlers, were arrested by the Rachakonda police on Monday.Police claim they had supplied the contraband to several local peddlers."
DRI seizes Alprazolam drug worth Rs 2.40 crore in Telangana,"Jan 03, 2024",
Two including Nigerian national arrested in drugs case,"Aug 10, 2024",A Nigerian living in India on a business visa in the garb of doing garments business was arrested on charges of drug peddling and carrying out drug trade in the city.
South African national lands in drug net as SIT wraps up Nandu probe,"Aug 02, 2024",
"Drug racket busted, 4 arrested in Cyderabad","Mar 27, 2024",
The battle lies in Charmee’s answers to SIT,"Jul 26, 2024","Art director Dharma Rao alias Chinna, whoworkedfor several movies directed by Puri Jagannadh, appearedbefore the SpecialInvestigation Team (SIT) of the excise departmentfor questioning in thedrug case atAbkari Bhavan, Nampally on Tuesday."
Hyderabad: Three held for black marketing Remdesivir as govt announce crackdown,"Apr 29, 2024","Three persons were arrested for selling Remdesivir injection at exorbitant price in two separate incidents on Wednesday, even as home minister Mahmood Ali ordered a massive crackdown against hoarding of the medicine and oxygen cylinders across the state."
Mumbai: Rs 5-crore drugs for Australia seized from mattresses,"Oct 02, 2024","Narcotics Control Bureau (NCB) intercepted a parcel and seized 4.6kg of Ephedrine worth Rs 5 crore from a courier service in Andheri. Though nobody has been arrested, NCB have launched a manhunt to trace the sender of the contraband, destined to Australia."
"Karnataka: Ecstasy pills factory raided in Kolar; seven arrested, equipment seized","Jul 23, 2024","An illegal narcotics laboratory, which was manufacturing and supplying ecstasy pills to drug traffickers operating in Chennai, Hyderabad and other cities, has been busted in Kolar."
Hyderabad: Two held for selling remdesivir shots at Rs 14k,"Apr 19, 2024",A medical shop owner and his employee have been arrested for selling remdesivir injection at exorbitant price.
"Siddharth Pithani to apply for bail again, in Sushant Singh Rajput drugs case","Nov 18, 2024","Sushant Singh Rajput's aide Siddharth Pithani, who was arrested by the Narcotics Control Bureau (NCB) in May this year, will now apply for bail after the charge sheet is filed in his case. His lawyer Taraq Sayyed spoke to ETimes and revealed, “We will be applying for bail after the charge sheet is filed and it could be this week.”"
"Drug racket busted in city, 3 arrested","Feb 10, 2024",
"Steroids can hurt heart, raise cardiac arrest risk","Sep 30, 2024",
